,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Z1,Z2
Rb1cc1,0.3549946,0.18181746,0.15473703,-0.04126075,0.9029128,0.2483273,0.15041615,0.064817354,0.0801038,0.068727024,0.08356442,0.03775664,-0.024407573,-0.12843992,-0.117419675,-0.12023395,-0.26501167,-0.1247575,-0.9512053,-1.6219216585159302,0.22618022561073303
Pcmtd1,-0.19057204,-0.34897357,-0.25505668,-0.3570966,-0.44999504,0.81829554,-0.1842346,-0.32692617,-0.3929823,-0.41716778,-0.44186616,-0.46673554,-0.4866591,-0.49239236,-0.4822176,-0.50365883,-0.5394692,-0.40334433,-0.98273593,0.41743192076683044,0.5959638357162476
2610203C22Rik,-0.62243366,-0.5987174,-0.6152995,-0.6044655,-0.6009446,-0.61267346,-0.6388148,-0.62068146,-0.63571405,-0.65135086,-0.6654055,-0.68370783,-0.708115,-0.7304169,-0.72954917,-0.7172145,-0.74267185,-0.7785437,0.9977648,0.7132062911987305,-2.6057803630828857
Vxn,0.5958155,0.35692585,0.11815649,-0.4892171,-0.95274884,0.21651722,0.09541683,-0.08517556,-0.49504715,-0.47559023,-0.4878766,-0.54938376,-0.5668511,-0.5637815,-0.5479467,-0.55044717,-0.5862843,-0.36958462,-0.9695497,-0.07414661347866058,0.6464762687683105
Sgk3,0.24330069,0.062179208,0.02906748,-0.33791894,-0.87234616,-0.28062165,-0.17079602,-0.2052872,-0.25489944,-0.25698268,-0.27669585,-0.32828867,-0.058428183,0.58380985,-0.12829734,-0.3942262,-0.51315475,-0.3075263,-0.9825143,0.04765167832374573,-0.3469952940940857
Cspp1,0.5180652,0.287122,0.23720063,-0.05679013,-0.8841335,-0.0047751144,0.09092812,0.026144367,0.0054552704,-0.086028844,0.0136919245,-0.07181166,-0.03663227,-0.019613355,0.014310434,-0.011140943,0.56855434,0.25205043,-0.97454077,-0.4011744558811188,-0.7797665596008301
Arfgef1,-0.7115039,-0.6848755,-0.6683385,-0.6891324,-0.68108773,-0.6958308,-0.7191489,-0.70588773,-0.71993715,-0.73422456,-0.7459036,-0.7607053,-0.78066474,-0.799149,-0.7940882,-0.77423537,-0.79004014,-0.8164775,0.9803109,0.9029769897460938,-2.6508748531341553
Ncoa2,0.6352387,0.41592616,0.37941003,0.35496342,-0.88899857,0.21007703,0.29848093,0.1790433,0.17857313,0.14287212,0.22400291,0.08643739,0.147579,0.15490672,0.2143406,0.2606671,0.248564,0.40827614,-0.93564266,-0.7011585235595703,-0.82393479347229
Gm28756,-1.1010599,-0.98308724,1.0520352,-1.0453897,-0.987724,-0.9870556,-0.9804538,-0.992534,-1.0093957,-1.0155349,-1.0181457,-1.0206577,-1.0226461,-1.0239334,-1.0251573,-1.0266851,-1.0280474,-1.0281386,-1.0263264,2.2177178859710693,0.8708533048629761
Smap1,0.2619186,0.040733464,0.033479426,-0.30269134,-0.7875111,-0.28524023,-0.15836711,-0.20815258,-0.20263441,-0.25059128,-0.27540344,-0.33423156,-0.38618803,-0.36996943,-0.33285213,-0.4098773,-0.31214136,0.97855705,-0.82030827,-0.11412085592746735,-1.1237260103225708
Dst,0.7400112,0.53736377,0.5205494,0.58867455,-0.3477959,0.38388294,0.5202837,0.3869334,0.3401534,0.34289116,0.4111377,0.32450145,0.33093977,0.27602324,0.3129265,0.3242401,-0.024096258,0.13573469,-0.949918,-0.9619598388671875,-0.6725203990936279
Gm38033,0.9712636,-0.8879713,-0.9225704,-1.0210109,-1.0261502,-0.9769786,-0.9804533,-0.9885679,-0.9983235,-1.0093268,-1.0170087,-1.02027,-1.0210843,-1.0216151,-1.0228207,-1.0244366,-1.0252765,-1.0241517,-1.0218668,1.0639840364456177,3.099673271179199
Tmem131,-0.7367605,-0.7153048,-0.67929107,-0.7145972,-0.7038789,-0.7212105,-0.74373186,-0.7322076,-0.7455217,-0.75916904,-0.7700415,-0.78380543,-0.8026501,-0.82017195,-0.8142095,-0.79340893,-0.8068622,-0.8287492,0.98392874,0.963979959487915,-2.6127233505249023
Mgat4a,0.29129273,0.0925979,0.07329239,0.033495355,0.9760667,-0.0310205,-0.023930676,-0.11531313,-0.12096764,-0.11443405,-0.10155648,-0.11748193,-0.187759,-0.2565307,-0.25544828,-0.260482,-0.3432452,-0.22928645,-0.9484512,-1.2669453620910645,0.558150053024292
Chst10,-0.5354143,-0.6663158,-0.57901603,-0.65563375,-0.8545326,0.8762565,-0.5006675,-0.7009972,-0.69522566,-0.7224917,-0.7488895,-0.7752089,-0.79611874,-0.8130161,-0.8272368,-0.8409442,-0.8607795,-0.8873293,-0.9069512,0.7757617235183716,0.6013363599777222
Npas2,-0.6959172,-0.8050811,-0.82712245,-0.942262,-0.946999,-0.9094253,0.9587631,-0.85764676,-0.96798927,-0.9104867,-0.95031756,-0.9552509,-0.9635864,-0.9718395,-0.9795106,-0.9870911,-0.9942245,-0.99994665,-1.0041082,1.0512290000915527,0.4829084575176239
Rpl31,-0.6194964,-0.58424604,-0.6069203,-0.58979714,-0.5862915,-0.5967418,-0.6198163,-0.5979526,-0.6130628,-0.62868565,-0.6430935,-0.6617512,-0.6869316,-0.71030194,-0.7107187,-0.69958824,-0.7274025,-0.7653649,0.99127007,0.6604089736938477,-2.684504508972168
Tbc1d8,-0.45108044,-0.5137842,-0.45954257,-0.66018146,0.97295284,-0.44464773,-0.46173197,-0.493061,-0.50175625,-0.51425445,-0.53894323,-0.5649698,-0.5870176,-0.6010906,-0.61286557,-0.6422787,-0.62375593,-0.5858162,-0.98358554,0.6481033563613892,0.8735252618789673
Map4k4,0.6836056,0.4238428,0.3899529,0.5560676,-0.9669972,0.2524406,0.33734637,0.184912,0.039305862,-0.15531598,-0.081456825,-0.23703824,-0.3595301,-0.4055723,-0.36216438,-0.35268748,-0.41252977,-0.2649402,-0.9558552,-0.42320874333381653,0.17802080512046814
