,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Z1,Z2
Pcmtd1,-0.030376628,-0.18928652,-0.20492855,-0.3353222,0.89328355,-0.22232355,-0.22988304,-0.34420875,-0.36396077,-0.33806604,-0.3493604,-0.37349027,-0.40292633,-0.4320737,-0.45449817,-0.4676925,-0.49110264,-0.520523,-0.8119594,1.3134613037109375,-2.238938093185425
2610203C22Rik,-0.48100883,-0.58841723,-0.62316895,-0.6124777,-0.56828606,-0.5893477,-0.59593374,-0.59290284,-0.6062346,-0.6336556,-0.6623246,-0.67581844,-0.6953676,-0.7188754,-0.68491936,-0.7614437,-0.7885436,-0.7094183,1.069991,-1.4052551984786987,0.5001017451286316
Vxn,0.32061124,-0.020946644,-0.24565622,-0.6939302,-0.80136234,-0.20263986,-0.27083987,-0.32735682,-0.41705883,-0.46420676,-0.4862283,-0.5124691,-0.5391742,-0.56416637,-0.58807355,-0.6167565,-0.6519641,-0.6969189,-0.7435238,-0.33066296577453613,-0.389819473028183
Sgk3,0.4021566,0.11840467,0.057518065,-0.35573733,-0.9518028,-0.17641455,-0.06852803,-0.059070066,-0.15300508,-0.14228612,-0.049195826,0.13394986,-0.029839873,-0.062267974,-0.053216726,-0.021380857,-0.06553277,0.02441983,-0.9199734,0.10007729381322861,0.9114782810211182
Cspp1,0.7421881,0.43628114,0.36735398,-0.09851326,-1.0136703,0.10978617,0.21098156,0.09982504,0.11230688,0.07635589,0.11551048,0.09855643,0.032092318,0.017341569,0.011134103,0.025752187,-0.0680501,-0.011501968,-0.9350553,0.4779365658760071,0.8018670082092285
Ncoa2,0.80002993,0.5217726,0.4655329,0.050928235,-1.0180771,0.21627803,0.36302358,0.19498749,0.20489831,0.2381349,0.27458024,0.15945916,0.18358763,0.21449076,0.23307376,0.23816694,0.13770868,0.15825935,-0.9686914,0.7375956773757935,1.1408436298370361
Dst,0.82693505,0.6049746,0.51990527,0.5888567,-0.30204183,0.37481368,0.48906434,0.28960449,0.28677523,0.28463048,0.29086643,0.2656921,0.23088802,0.1671928,0.11010049,0.08182083,-0.028399847,0.027380884,-0.9754025,1.2604824304580688,0.6875391006469727
Mgat4a,0.44366556,0.16334237,0.10217093,0.14238082,0.7622015,-0.32164842,-0.15579122,-0.055653326,-0.06269461,-0.074357085,-0.10109128,-0.14990066,-0.20868497,-0.25666347,-0.28279984,-0.306023,-0.37694407,-0.27893764,-0.92843527,1.0841197967529297,-0.8120543956756592
Map4k4,0.72517604,0.37215346,0.2614221,0.5880019,-0.8977462,0.14583321,0.16586263,0.04248181,-0.061289705,-0.15580517,-0.112681046,-0.19022864,-0.2570588,-0.3000469,-0.32488707,-0.34939724,-0.39351994,-0.25355,-0.920871,0.4367666244506836,-0.026196226477622986
Il1r2,0.7989299,-0.37179354,-0.8777553,-0.92857665,-0.9485653,-0.95848185,-0.9149954,-0.89679676,-0.9033694,-0.9137942,-0.92900825,-0.9456745,-0.9572145,-0.9636713,-0.9705166,-0.9776438,-0.98051935,-0.9687701,-0.9618794,-1.7827666997909546,-2.7280354499816895
Tpp2,0.62884504,0.26654834,0.16648026,0.076291025,-1.0278667,0.072524205,-0.024992242,-0.1289517,-0.2700979,-0.34430552,-0.29187483,-0.34104228,-0.39651817,-0.42491126,-0.42796004,-0.43268985,-0.4397512,-0.43072546,-0.85903716,0.057906292378902435,-0.15816697478294373
