,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Z1,Z2
Srgap2,0.6245132,0.42233086,0.37918752,0.3614655,0.3529353,0.3452245,0.33440357,0.32000965,0.30377647,0.2881445,0.27436686,0.25983036,0.23417741,0.17445472,0.04399605,-0.17416807,-0.40749896,-0.5601347,-0.62399185,-1.7483291625976562,0.33742421865463257
Cd84,0.021394737,0.15390304,0.26008266,0.34274447,0.3997801,0.43016785,0.4352764,0.4192596,0.3886474,0.35165855,0.31734675,0.29475537,0.2909629,0.30462497,0.31298333,0.26112318,0.06268433,-0.29994696,-0.5948214,-0.579285204410553,-0.06740890443325043
Ifi204,-0.71383667,-0.5390763,-0.50328803,-0.46543038,-0.42055145,-0.37135625,-0.32530707,-0.29128242,-0.27109963,-0.25454244,-0.22606084,-0.17290448,-0.08693263,0.03323631,0.1734915,0.28700286,0.2922314,0.09387927,-0.28856897,0.8204213380813599,-0.10493150353431702
St8sia6,-0.6684157,-0.48991436,-0.4468261,-0.40105185,-0.34829223,-0.29325604,-0.24566397,-0.21346411,-0.19456123,-0.17747805,-0.14917713,-0.09901368,-0.019357938,0.09095092,0.21619937,0.30537164,0.2748083,0.029922307,-0.3611179,0.6840792894363403,-0.08354730904102325
Plxdc2,0.8756746,0.39516118,0.21799013,0.13027841,0.09356111,0.0802778,0.06933336,0.044490837,-0.0052757934,-0.08265439,-0.17829134,-0.2732801,-0.35005373,-0.4013364,-0.4291706,-0.43909448,-0.43613142,-0.42347872,-0.40232334,-2.8484978675842285,0.8107699751853943
Arhgap15,-0.8395859,-0.7092375,-0.692513,-0.6784248,-0.6607705,-0.6383269,-0.6118127,-0.58444905,-0.5602741,-0.54301095,-0.5354916,-0.5340037,-0.520138,-0.46689212,-0.3551986,-0.18351889,0.02358295,0.20246226,0.25847337,1.753394365310669,-0.21137221157550812
B2m,-0.55158556,-0.35936457,-0.28881794,-0.21795139,-0.14649037,-0.08377824,-0.038946796,-0.013374735,-0.001029253,0.007111281,0.021073744,0.051156163,0.10574517,0.18663424,0.2757178,0.31627014,0.22258168,-0.091507144,-0.47128823,0.38123124837875366,-0.24756337702274323
Cst3,-0.05542761,0.09715307,0.20869529,0.297413,0.36081153,0.39713413,0.40728676,0.3952621,0.36768106,0.33305994,0.30085003,0.2804982,0.27971098,0.2981994,0.31435496,0.27322644,0.08894494,-0.27254558,-0.5827474,-0.4599178731441498,-0.09342017769813538
Cst7,-0.7770266,-0.61159074,-0.58579636,-0.5590943,-0.52626854,-0.48842603,-0.449329,-0.41515628,-0.3921652,-0.3784316,-0.35896876,-0.31438863,-0.23126984,-0.10512355,0.054967612,0.21317083,0.29651466,0.21237504,-0.10210287,1.0804693698883057,-0.07924963533878326
Tgfbr1,0.7422761,0.42201468,0.32136178,0.27115375,0.24678406,0.23412186,0.22515586,0.21591458,0.20431188,0.18815231,0.1632734,0.1219666,0.0527267,-0.054949585,-0.19611435,-0.33978814,-0.4498786,-0.51449734,-0.54328334,-2.138145685195923,0.5771132111549377
Tnfsf8,-0.7006922,-0.52540183,-0.48819584,-0.44856697,-0.40174258,-0.35093704,-0.30431145,-0.27071238,-0.2508788,-0.23399186,-0.20514566,-0.15233211,-0.067661375,0.05012364,0.1864239,0.2931667,0.28813064,0.076028794,-0.31011826,0.7819809317588806,-0.07193157076835632
Fgr,-0.8298282,-0.682678,-0.6637522,-0.6462259,-0.62410724,-0.597112,-0.5673603,-0.5383489,-0.51409245,-0.49874833,-0.49175212,-0.47922876,-0.4370739,-0.3456838,-0.19904843,-0.010636009,0.17398286,0.27268127,0.18914956,1.4881855249404907,-0.11316433548927307
Cd52,-0.8171031,-0.6604721,-0.63790774,-0.6164379,-0.590101,-0.55913657,-0.5260918,-0.49481893,-0.47037083,-0.45629904,-0.4460986,-0.42013463,-0.35703167,-0.24482784,-0.085096285,0.09870577,0.24758813,0.2730573,0.08230081,1.3147506713867188,-0.2262318879365921
Spp1,-0.7815096,-0.7358185,-0.7335585,-0.72932076,-0.71900594,-0.70568836,-0.6879927,-0.66446376,-0.6375527,-0.6130009,-0.5963512,-0.59104973,-0.5979941,-0.60956544,-0.60087794,-0.53855664,-0.40161365,-0.1943995,0.040391266,2.6893954277038574,-0.24863411486148834
Selplg,0.56871766,0.4142648,0.3940984,0.38995555,0.3886709,0.383724,0.37236774,0.35506308,0.33453688,0.31455758,0.29829055,0.28575936,0.26973367,0.2296961,0.12602963,-0.085057534,-0.35602272,-0.5544086,-0.64086455,-1.5959877967834473,0.2889222502708435
