"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18"
"Vxn",1,0.847390468371215,0.694857781430174,0.306850184225381,0.0107328692371594,0.757693425150885,0.680331037127949,0.5649634602839,0.303125781766453,0.315555417994472,0.307706533912981,0.268414003326508,0.257255367629228,0.259216315783691,0.269332038300072,0.267734666645202,0.244840884414704,0.383274829413609,0
"Ncoa2",1,0.860388858392209,0.837143226398714,0.821580873554958,0.0296929425656944,0.729348325834104,0.785624950059882,0.709592709152778,0.709293405836835,0.68656666726251,0.738213336492833,0.650641147081916,0.689562997933848,0.694227716853168,0.732062451870968,0.761553221307559,0.753848565623059,0.855518968026968,0
"Dst",1,0.880085254459181,0.870135506268547,0.910447934741882,0.35630019293116,0.789264390484525,0.86997828074691,0.791069472022852,0.763387838969822,0.76500788317049,0.805392143055461,0.754125942080887,0.757935758492131,0.725439408940919,0.747276572296638,0.753971290631584,0.547846467177442,0.642424954844262,0
"Gm38033",1,0.0691789052423689,0.0518569562301011,0.0025729771167096,0,0.0246176330613116,0.0228780335852291,0.0188154802975728,0.0139313646476258,0.00842259125274895,0.0045766680895065,0.00294390676583891,0.00253622959849379,0.00227048596540187,0.00166690547547032,0.000857909362596765,0.000437415622141035,0.00100054380319191,0.00214447301805968
"Map4k4",1,0.842625494152803,0.822093661782229,0.922732470828233,0,0.738783309951976,0.79022255990357,0.697871832036151,0.609657915277982,0.491748360053672,0.53649513680699,0.442237805485366,0.368027426101543,0.340133253136369,0.366431475822045,0.37217295402625,0.335918144571183,0.42533370232984,0.00675026117731049
"Il1r2",1,0.120343095226839,0.0630514327335198,0.00381726067088193,0,0.0252160458461906,0.0273587458804054,0.0231783038287691,0.0190820265080341,0.0140468862555178,0.00996274836758687,0.00777895254723763,0.00696845510292871,0.00659225287840778,0.00610256899244311,0.00547291103598641,0.00507021640241695,0.00534420500336942,0.00628260719760197
"Tpp2",1,0.821191576940842,0.705223193467165,0.333844394800352,0.00822952533697357,0.700821050392915,0.730013227899514,0.810759496986236,0.629086958673978,0.447163407185286,0.384500747957114,0.300235145197183,0.284152423746417,0.293398373234201,0.312557298307926,0.314986440126174,0.284235201246495,0.417175290163228,0
"Slc40a1",1,0.838645716451656,0.764498195226106,0.44798768455527,0,0.660816040338024,0.700522751688319,0.682753928342246,0.71201294699544,0.765709497392244,0.762237023645108,0.553805691701508,0.360732455733915,0.332600590390538,0.366587341298194,0.384079886944188,0.347597886644484,0.463769786795467,0.00938553455102561
"Myo1b",1,0.840398788214232,0.773948120051968,0.45625652110382,0.0113527121102404,0.604639769598089,0.668980357096545,0.656294057740335,0.61387470585379,0.58936307543777,0.671208841372576,0.910337764636195,0.813664734124243,0.484827174862497,0.383611168629077,0.386254621996371,0.389042006500578,0.492731729249459,0
"Sf3b1",1,0.876154384038603,0.842438678359362,0.83772015545314,0.844580406547524,0.695327546700955,0.810234104338529,0.759929537541356,0.715686233150815,0.707994862533771,0.722272765361111,0.689201363826806,0.625252273285465,0.531672421514946,0.530393664562174,0.526491522602829,0.4100446479911,0.502983304101594,0
"Clk1",1,0.873033645504874,0.860838797819669,0.920535653542746,0.281950502986693,0.782840655887355,0.850525920207163,0.769196443195899,0.752434006480149,0.739417345737011,0.781560916941275,0.72509061967477,0.739930350273653,0.693423772900082,0.709498092840985,0.700722294608968,0.479404028977641,0.595181808100913,0
"Cflar",1,0.860764153362698,0.838661281243084,0.88283404640159,0.111164433476156,0.751831008650225,0.793959262138293,0.71293397452366,0.719937524123345,0.687607756740085,0.73267006998256,0.686606179507432,0.711245565029697,0.620255684122561,0.611559061109691,0.523656385113563,0.40773956637959,0.512991142901986,0
"Casp8",1,0.840933451803073,0.824212482881513,0.955010903792361,0.0444734474234685,0.734864894236402,0.795875384975999,0.71217246924751,0.661958347498355,0.543309803954128,0.595332977014785,0.497480532924056,0.407944846039994,0.357911880396762,0.390682490373098,0.392002563121386,0.349186444693554,0.429963410878825,0
"Pard3b",1,0.84651406293573,0.789169475629533,0.532330269688771,0,0.668681659690639,0.708613258980103,0.675178516033587,0.670155075362487,0.682099719625706,0.789565772535356,0.760725342948908,0.535933665254142,0.37723387492991,0.378313303797963,0.40119238502105,0.371745442378708,0.472916169487992,0.00646547092693023
"Gm13748",1,0.593221920129254,0.168640074305237,0.0433416978759279,0.0368127242866258,0,0.0348131394373926,0.0422271193230427,0.0383402966366143,0.0340607366837702,0.0278606667114585,0.0226098427648113,0.0196981444680369,0.0184645581381416,0.0178255887921106,0.0172186311985591,0.016709765630727,0.0167534851411149,0.017642219989193
"Dock10",1,0.93312315317504,0.9104997144995,0.82578262850111,0.901221857901888,0.806806359995276,0.907118980263933,0.850624711128541,0.801289563726806,0.84627109906022,0.852069558346141,0.84318998679169,0.801769757959573,0.781543417866558,0.785702330352128,0.828817433588887,0.631210934531673,0.704897534247922,0
"Rhbdd1",1,0.84838377011371,0.80832460561242,0.660223640886755,0.000662343204060039,0.705603756162701,0.73475153380637,0.6914741805742,0.71089002267359,0.684853453545505,0.725146168774722,0.622474130964282,0.462041827262472,0.369067983278915,0.398515872976801,0.400883503775232,0.361598712048856,0.453893489843639,0
"Pid1",1,0.905564676776381,0.905289297742789,0.936903066277635,0.246556395605782,0.834034670260668,0.897635085063783,0.810410799833226,0.804803636294083,0.829107705036112,0.865432848476418,0.799578204838637,0.820415005481529,0.823008442659964,0.861070430440086,0.893453122316529,0.755080348186399,0.89796444403538,0
"Dis3l2",1,0.823019343010799,0.694501018250337,0.315805344070121,0.012696096163115,0.724107671952657,0.743812924910169,0.784719222754141,0.49387748282185,0.387866076515961,0.34900154924657,0.286007996829982,0.275477471565499,0.282854915595929,0.29912649930791,0.300108049248883,0.271359106078931,0.406777085742326,0
"Gm20528",1,0.864526097674457,0.731654367401001,0.419475271826779,0,0.638177712192561,0.596523508937128,0.440703547004892,0.313388679041918,0.319820886750523,0.318334980965163,0.285119380371748,0.26648815167621,0.261274626117083,0.266269668704453,0.262105541423204,0.244485488901461,0.378200416746368,0.00602011828693816
