"","time.point","proportion","bin_num","bin"
"1","Aged",0.552469135802469,1,"[0.00,0.15)"
"2","Young",0.447530864197531,1,"[0.00,0.15)"
"3","Aged",0.650684931506849,2,"[0.15,0.30)"
"4","Young",0.349315068493151,2,"[0.15,0.30)"
"5","Aged",NA,3,"0.30"
"6","Young",NA,3,"0.30"
"7","Aged",0.583333333333333,4,"[0.45,0.60)"
"8","Young",0.416666666666667,4,"[0.45,0.60)"
"9","Aged",0.523809523809524,5,"[0.60,0.75)"
"10","Young",0.476190476190476,5,"[0.60,0.75)"
"11","Aged",0.75,6,"[0.75,0.90)"
"12","Young",0.25,6,"[0.75,0.90)"
"13","Aged",0.65,7,"[0.90,1.05)"
"14","Young",0.35,7,"[0.90,1.05)"
"15","Aged",0.551724137931034,8,"[1.05,1.20)"
"16","Young",0.448275862068966,8,"[1.05,1.20)"
"17","Aged",0.7,9,"[1.20,1.35)"
"18","Young",0.3,9,"[1.20,1.35)"
"19","Aged",0.821428571428571,10,"[1.35,1.50)"
"20","Young",0.178571428571429,10,"[1.35,1.50)"
"21","Aged",0.82051282051282,11,"[1.50,1.65)"
"22","Young",0.179487179487179,11,"[1.50,1.65)"
"23","Aged",0.802631578947368,12,"[1.65,1.80)"
"24","Young",0.197368421052632,12,"[1.65,1.80)"
"25","Aged",0.782608695652174,13,"[1.80,1.95)"
"26","Young",0.217391304347826,13,"[1.80,1.95)"
"27","Aged",0.96969696969697,14,"[1.95,2.10)"
"28","Young",0.0303030303030303,14,"[1.95,2.10)"
"29","Aged",0.904761904761905,15,"[2.10,2.25)"
"30","Young",0.0952380952380952,15,"[2.10,2.25)"
"31","Aged",0.948717948717949,16,"[2.25,2.40)"
"32","Young",0.0512820512820513,16,"[2.25,2.40)"
"33","Aged",0.964285714285714,17,"[2.40,2.55)"
"34","Young",0.0357142857142857,17,"[2.40,2.55)"
"35","Aged",0.92,18,"[2.55,2.70)"
"36","Young",0.08,18,"[2.55,2.70)"
"37","Aged",0.888888888888889,19,"[2.70,2.85)"
"38","Young",0.111111111111111,19,"[2.70,2.85)"
"39","Aged",1,20,"[2.85,2.99]"
"40","Young",0,20,"[2.85,2.99]"
